iter	Passed	Remaining
916	1681	152
917	1683	150
918	1685	148
919	1686	146
920	1688	144
921	1689	142
922	1690	141
923	1692	139
924	1693	137
925	1695	135
926	1696	133
927	1699	131
928	1700	129
929	1702	128
930	1703	126
931	1705	124
932	1706	122
933	1708	120
934	1709	118
935	1710	116
936	1712	115
937	1714	113
938	1716	111
939	1718	109
940	1719	107
941	1721	105
942	1722	104
943	1724	102
944	1725	100
945	1727	98
946	1729	96
947	1730	94
948	1732	93
949	1733	91
950	1735	89
951	1736	87
952	1737	85
953	1739	83
954	1740	82
955	1743	80
956	1744	78
957	1745	76
958	1747	74
959	1748	72
960	1750	71
961	1751	69
962	1753	67
963	1754	65
964	1756	63
965	1758	61
966	1759	60
967	1761	58
968	1762	56
969	1764	54
970	1765	52
971	1767	50
972	1768	49
973	1769	47
974	1772	45
975	1773	43
976	1775	41
977	1776	39
978	1778	38
979	1779	36
980	1781	34
981	1782	32
982	1783	30
983	1785	29
984	1787	27
985	1789	25
986	1791	23
987	1793	21
988	1795	19
989	1797	18
990	1799	16
991	1800	14
992	1802	12
993	1804	10
994	1805	9
995	1807	7
996	1809	5
997	1810	3
998	1811	1
999	1813	0
